Region,County,0 - 4,5-9,10-14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 - 89,90 & Over,1/2-Rm-HDB,3-Rm-HDB,4-Rm-HDB,5-Rm-HDB & EC,Condos,Landed Properties,Others,Total Pop,Latitude,Longitude,Kids,Youth,Working,Elderly
Sembawang,Sembawang Straits,60,110,100,130,140,130,70,90,130,150,150,150,120,70,60,40,30,10,10,0,0,0,0,10,1720,20,1750,1.4582,103.8365,270,270,990,220
Sembawang,Senoko North,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4628,103.8016,0,0,0,0
Sembawang,Senoko South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4535,103.8071,0,0,0,0
Sembawang,The Wharves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4646,103.8297,0,0,0,0
Sengkang,Anchorvale,3970,3680,3190,2500,1870,2540,4940,5060,4410,3860,2490,2330,2090,1550,1010,580,270,140,80,1660,1310,15910,22640,5030,0,10,46560,1.3938,103.888,10840,4370,27720,3630
Sengkang,Compassvale,1930,1860,1400,830,650,1010,2230,2860,2540,1480,970,860,850,700,490,280,150,60,30,560,420,12960,2590,4630,0,20,21180,1.3857,103.8901,5190,1480,12800,1710
Sengkang,Fernvale,5160,4940,3480,2570,2110,2570,5710,6980,5350,3960,3000,2580,2170,1750,1190,740,440,270,160,2810,6710,26520,10070,7420,1050,550,55130,1.3947,103.8765,13580,4680,32320,4550
Sengkang,Lorong Halus North,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3809,103.9105,0,0,0,0
Sengkang,Rivervale,2670,3210,3720,4000,4170,4020,4110,4420,4760,5210,4600,4700,4140,2820,1710,920,540,280,170,1670,970,21010,28200,8060,250,10,60170,1.3878,103.9073,9600,8170,35960,6440
Sengkang,Sengkang Town Centre,3640,3560,3570,3670,3880,4250,5450,5530,4890,4880,4470,4210,3740,2490,1480,890,560,280,190,430,1530,23240,32190,3740,230,270,61630,1.3914,103.8972,10770,7550,37420,5890
Sengkang,Sengkang West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3943,103.8635,0,0,0,0
Serangoon,Lorong Chuan,290,370,480,580,640,640,460,440,550,690,710,720,620,430,300,190,180,90,70,0,0,0,0,4190,4170,90,8450,1.3492,103.8624,1140,1220,4830,1260
