Region,County,0 - 4,5-9,10-14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 - 89,90 & Over,1/2-Rm-HDB,3-Rm-HDB,4-Rm-HDB,5-Rm-HDB & EC,Condos,Landed Properties,Others,Total Pop,Latitude,Longitude,Kids,Youth,Working,Elderly
Ang Mo Kio,Ang Mo Kio Town Centre,170,240,310,310,280,280,280,320,420,470,350,350,280,260,210,140,80,40,20,0,420,630,1830,1900,0,30,4810,1.3731,103.8467,720,590,2750,750
Ang Mo Kio,Cheng San,1060,1000,1070,1210,1370,1800,2000,2210,2040,2230,2080,2160,2200,2140,1560,1020,590,310,160,950,13390,8800,4930,0,0,140,28210,1.3729,103.854,3130,2580,16720,5780
Ang Mo Kio,Chong Boon,860,880,1040,1140,1350,1610,1920,1820,1890,1830,1980,2140,2160,2070,1670,1180,730,390,180,1580,12370,8620,3770,0,0,500,26840,1.3628,103.856,2780,2490,15350,6220
Ang Mo Kio,Kebun Bahru,730,840,1030,1080,1160,1430,1390,1530,1670,1840,1800,1780,1740,1710,1300,890,590,310,150,1690,10430,5720,2170,1580,1140,240,22970,1.373,103.8392,2600,2240,13180,4950
Ang Mo Kio,Sembawang Hills,210,290,410,470,540,520,320,300,400,550,540,560,480,420,310,240,150,100,50,0,0,0,0,250,6510,100,6860,1.3743,103.8298,910,1010,3670,1270
Ang Mo Kio,Shangri-La,550,570,670,710,870,1030,1030,1020,1070,1180,1280,1410,1250,1140,900,660,410,240,120,2740,6150,5150,1730,0,280,60,16110,1.3679,103.838,1790,1580,9270,3470
Ang Mo Kio,Tagore,230,320,430,480,570,700,490,360,460,610,600,710,710,510,330,220,180,100,60,0,0,0,0,2530,5370,170,8070,1.386,103.8293,980,1050,4640,1400
Ang Mo Kio,Townsville,740,900,920,830,930,1350,1370,1520,1710,1550,1390,1610,1680,1590,1290,960,620,330,170,1400,6530,9600,3840,0,0,90,21460,1.3646,103.8477,2560,1760,12180,4960
Ang Mo Kio,Yio Chu Kang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3844,103.846,0,0,0,0
Ang Mo Kio,Yio Chu Kang East,160,170,230,260,320,330,240,240,250,330,290,360,360,260,180,110,80,30,30,0,0,0,0,1830,2290,110,4230,1.384,103.8537,560,580,2400,690
Ang Mo Kio,Yio Chu Kang North,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3926,103.8472,0,0,0,0
Ang Mo Kio,Yio Chu Kang West,750,980,1270,1410,1470,1530,1430,1580,1790,1970,1860,1990,1940,1860,1200,700,430,240,90,2750,7430,4900,3180,5730,440,60,24490,1.3824,103.8399,3000,2880,14090,4520
Bedok,Bayshore,330,460,480,410,350,330,310,580,800,860,640,500,390,340,240,130,90,40,60,0,0,0,0,6790,410,140,7340,1.3141,103.9477,1270,760,4410,900
Bedok,Bedok North,2790,3130,3560,4260,4880,5730,5110,5340,5790,6010,6380,7040,6520,5930,4370,2630,1630,950,470,4670,31350,25490,10770,5390,4410,440,82520,1.3297,103.9371,9480,9140,47920,15980
Bedok,Bedok Reservoir,1130,1270,1490,1520,1520,1610,1880,1940,2120,2120,1930,1880,1830,1470,890,510,300,170,80,0,2920,8430,6280,7900,50,80,25660,1.3406,103.9264,3890,3040,15310,3420
Bedok,Bedok South,1470,1830,2180,2430,2850,3290,2860,2820,3150,3510,3580,3830,3750,3360,2570,1690,1210,660,380,1580,8110,11840,6850,7070,11530,440,47420,1.3223,103.9458,5480,5280,26790,9870
Bedok,Frankel,1480,2030,2080,1730,1890,2060,1950,2490,2980,3130,2490,2260,2080,1940,1430,880,710,440,280,0,0,0,0,14940,18820,570,34330,1.315,103.9197,5590,3620,19440,5680
Bedok,Kaki Bukit,1210,1280,1640,2060,2680,3300,2760,2270,2320,2510,2610,3480,3450,2620,1690,870,530,230,180,480,6020,14850,14660,810,730,140,37690,1.3356,103.9083,4130,4740,22700,6120
Bedok,Kembangan,1450,1390,1560,1850,2130,2780,2730,2520,2390,2570,2720,3040,3280,2680,1950,1260,840,520,320,3310,7380,6320,6930,5000,8160,880,37980,1.325,103.9164,4400,3980,22030,7570
Bedok,Siglap,170,250,270,360,350,420,330,340,460,510,470,490,480,430,470,330,240,120,60,0,0,0,0,6430,0,120,6550,1.3066,103.9272,690,710,3500,1650
Bishan,Bishan East,860,1170,1330,1380,1570,2440,2040,1790,1920,2210,1920,2260,2420,2110,1340,860,550,280,160,270,1910,10780,12300,3020,0,330,28610,1.3521,103.8527,3360,2950,17000,5300
Bishan,Marymount,1070,1390,1620,1720,2170,2580,1730,1850,2070,2280,2320,2590,2340,1700,1110,670,400,220,140,0,0,13860,8890,4280,2850,90,29970,1.354,103.8447,4080,3890,17760,4240
Bishan,Upper Thomson,930,1270,1460,1620,1790,2040,1640,1630,1940,2350,2270,2370,2370,1930,1410,1000,710,460,240,920,3050,3980,4290,9350,7570,270,29430,1.3554,103.83,3660,3410,16610,5750
Boon Lay,Liu Fang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3188,103.7083,0,0,0,0
Boon Lay,Samulun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3074,103.7029,0,0,0,0
Boon Lay,Shipyard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3072,103.6886,0,0,0,0
Boon Lay,Tukang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3267,103.708,0,0,0,0
Bukit Batok,Brickworks,1820,850,650,580,480,2190,2500,1230,1160,990,790,610,450,320,200,120,60,40,10,2970,1970,6120,3990,0,0,0,15050,1.3563,103.7421,3320,1060,9920,750
Bukit Batok,Bukit Batok Central,1260,1260,1390,1510,1550,2030,2350,1930,1870,2000,2040,2050,2100,1650,1020,590,380,190,110,1340,3870,12290,8310,1410,0,60,27280,1.3482,103.75,3910,3060,16370,3940
Bukit Batok,Bukit Batok East,320,350,600,640,840,980,850,830,840,950,1020,1210,1250,940,570,280,190,110,50,0,5710,4920,2060,0,0,130,12820,1.3487,103.7578,1270,1480,7930,2140
Bukit Batok,Bukit Batok South,700,710,750,900,1180,1170,1280,1110,940,1090,1200,1300,1190,710,370,170,120,60,30,0,390,6450,6260,1180,670,30,14980,1.3396,103.7585,2160,2080,9280,1460
Bukit Batok,Bukit Batok West,660,620,740,840,940,1020,1230,1080,1050,1070,1100,1230,1200,990,550,320,200,120,70,0,5160,5990,3830,0,0,50,15030,1.3479,103.7414,2020,1780,8980,2250
Bukit Batok,Gombak,370,540,560,570,650,700,600,770,900,780,730,710,630,530,380,240,180,90,50,0,0,3680,2550,700,2990,60,9980,1.3692,103.7566,1470,1220,5820,1470
Bukit Batok,Guilin,450,550,730,750,850,870,860,930,1000,1150,1140,1060,900,700,420,280,190,110,70,0,3290,2220,2220,5050,0,230,13010,1.3566,103.7542,1730,1600,7910,1770
Bukit Batok,Hillview,580,750,1050,1430,1590,1390,1030,1030,1270,1680,1910,1760,1350,1000,570,350,180,120,60,0,0,0,0,16760,2200,140,19100,1.3564,103.7635,2380,3020,11420,2280
Bukit Batok,Hong Kah North,910,990,1270,1570,1740,2140,1780,1710,1700,1940,2090,2450,2460,1640,950,560,300,160,80,760,7550,12600,4070,1250,0,210,26440,1.3624,103.747,3170,3310,16270,3690
Bukit Merah,Alexandra Hill,390,450,600,670,800,920,800,760,780,930,1020,1150,1140,1090,830,560,400,240,170,3900,2530,3770,3080,0,0,420,13700,1.2877,103.8096,1440,1470,7500,3290
Bukit Merah,Alexandra North,150,150,130,80,80,110,190,280,260,230,150,110,80,50,40,20,10,0,0,0,0,0,0,2120,0,0,2120,1.2925,103.8195,430,160,1410,120
Bukit Merah,Bukit Ho Swee,510,610,540,560,630,860,970,1040,980,1020,1020,1170,1300,1110,880,660,460,280,170,3660,5400,3200,1880,540,0,90,14770,1.2893,103.8304,1660,1190,8360,3560
Bukit Merah,Bukit Merah,30,40,50,60,70,60,70,70,60,90,80,80,80,100,70,50,30,10,10,0,150,10,910,0,0,40,1110,1.282,103.8194,120,130,590,270
Bukit Merah,City Terminals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2647,103.8496,0,0,0,0
Bukit Merah,Depot Road,370,390,350,290,300,310,500,550,680,580,440,370,350,350,280,190,110,60,30,150,300,2060,2030,1940,0,20,6500,1.2821,103.8109,1110,590,3780,1020
Bukit Merah,Everton Park,250,290,330,330,340,470,480,560,660,660,580,530,620,610,470,330,250,120,80,460,1630,2050,3210,360,180,70,7960,1.2761,103.8358,870,670,4560,1860
Bukit Merah,Henderson Hill,450,460,510,560,640,850,880,770,800,920,1030,1080,1080,980,820,630,470,260,130,3870,4220,3780,1240,180,0,30,13320,1.2865,103.8223,1420,1200,7410,3290
Bukit Merah,Kampong Tiong Bahru,240,260,370,370,460,560,500,480,580,680,730,730,840,800,600,450,330,150,90,2030,4050,1820,1150,0,0,170,9220,1.2784,103.8272,870,830,5100,2420
Bukit Merah,Maritime Square,180,210,190,160,90,140,170,350,400,360,280,240,180,140,100,80,60,40,50,0,0,0,0,2940,80,400,3420,1.2685,103.8124,580,250,2120,470
Bukit Merah,Redhill,510,720,610,490,490,650,650,810,1080,920,760,740,600,500,400,270,230,120,130,1970,430,3060,3210,1900,0,110,10680,1.2877,103.8172,1840,980,6210,1650
Bukit Merah,Singapore General Hospital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2797,103.8345,0,0,0,0
Bukit Merah,Telok Blangah Drive,1090,820,770,730,730,1200,1990,1660,1460,1380,1230,1220,1200,1180,980,690,460,230,120,1570,5230,8240,3510,510,10,70,19140,1.2764,103.809,2680,1460,11340,3660
Bukit Merah,Telok Blangah Rise,340,400,430,530,620,750,640,750,890,940,840,920,1050,1120,900,590,340,180,90,800,4020,5330,1170,770,170,60,12320,1.2743,103.8241,1170,1150,6780,3220
Bukit Merah,Telok Blangah Way,260,410,380,360,430,500,470,570,730,790,700,780,810,740,570,420,300,170,110,1880,4430,1610,1510,0,0,70,9500,1.2775,103.8207,1050,790,5350,2310
Bukit Merah,Tiong Bahru,750,670,540,450,420,740,1120,1190,1220,980,790,770,820,800,640,470,310,170,150,400,2780,6350,2700,650,10,110,13000,1.2832,103.8324,1960,870,7630,2540
Bukit Merah,Tiong Bahru Station,610,760,830,700,690,1070,1000,1160,1250,1280,1110,1090,1030,770,700,540,420,220,120,1620,710,7020,4680,1280,0,40,15350,1.284,103.8271,2200,1390,8990,2770
Bukit Panjang,Bangkit,650,760,1010,1230,1660,1940,1430,1260,1370,1580,1870,2240,1950,1380,870,610,370,210,100,0,2880,11990,5370,2240,0,10,22490,1.377,103.7742,2420,2890,13640,3540
Bukit Panjang,Dairy Farm,290,360,450,510,460,490,450,450,570,610,520,540,420,280,180,90,60,40,20,0,0,0,0,4760,2010,20,6790,1.3689,103.7719,1100,970,4050,670
Bukit Panjang,Fajar,1660,1720,1640,1640,1770,2190,2450,2310,1950,2000,1930,2130,1790,1260,780,480,280,140,70,550,2070,13800,11740,0,0,30,28190,1.384,103.7704,5020,3410,16750,3010
Bukit Panjang,Jelebu,920,1170,1530,1990,2520,2720,2080,1750,1970,2460,2710,2890,2610,1780,1100,610,440,190,110,0,3840,9860,10740,6460,640,10,31550,1.3754,103.7666,3620,4510,19190,4230
Bukit Panjang,Nature Reserve,160,160,240,250,290,260,210,230,260,360,340,330,260,190,120,70,50,20,10,0,0,0,0,3240,540,30,3810,1.3536,103.7785,560,540,2250,460
Bukit Panjang,Saujana,1690,1590,1520,1570,1730,1780,2390,2260,1860,1890,1720,1930,1790,1130,600,290,180,130,70,280,740,10590,12450,2050,0,10,26120,1.3856,103.7661,4800,3300,15620,2400
